OTU_ID	May_D_A	July_C_C	May_D_D	May_E_C	July_E_C	May_D_C	July_D_A	July_D_D	July_C_A	July_E_B	May_E_B	May_C_C	July_C_B	July_E_A	May_E_A	May_C_A	July_D_C	May_C_B	July_A_C	May_A_C	July_A_A	July_B_D	May_A_B	May_B_G	July_A_B	May_A_A	July_B_F	May_B_F	May_B_D	July_B_G
denovo29	20	9	14	9	15	9	13	4	6	7	20	13	7	12	8	11	3	12	2	1	0	1	1	2	2	1	1	1	1	4
denovo23	0	0	4	1	1	0	1	1	0	3	3	0	1	1	15	0	7	2	11	6	7	9	1	26	1	4	15	19	39	30
denovo123	5	3	5	3	3	10	2	3	3	2	7	10	9	5	9	7	2	9	20	15	14	5	8	12	6	5	5	4	10	5
denovo95	16	0	16	7	11	27	4	1	0	3	20	2	0	2	13	4	4	5	19	8	21	3	1	1	8	4	2	1	1	1
denovo35	12	11	2	13	9	19	14	3	4	9	19	6	7	11	25	5	14	16	0	0	0	2	0	2	0	0	2	0	0	0
denovo581	11	5	10	6	1	2	3	6	4	1	2	6	0	1	3	5	0	7	24	25	10	1	13	5	21	14	1	1	17	0
denovo449	11	0	7	44	26	26	5	3	2	9	32	0	1	7	17	4	3	2	0	0	0	0	0	1	0	2	0	0	1	0
denovo8	4	0	17	6	16	13	7	5	4	2	10	1	4	7	10	1	3	3	3	0	2	9	0	6	2	1	3	10	12	42
denovo779	3	1	3	0	0	2	1	2	1	2	3	0	1	2	4	1	1	2	1	3	3	10	0	45	0	5	11	29	39	24
denovo313	7	4	6	21	7	10	12	9	2	8	15	0	7	7	6	0	6	5	12	4	8	7	0	4	7	4	1	9	2	7
denovo55	20	0	28	3	11	28	8	5	0	6	7	0	0	8	10	0	7	0	9	7	8	0	6	2	13	3	1	2	0	5
denovo378	7	6	7	39	34	2	8	1	7	0	14	14	2	7	2	10	1	13	6	3	4	0	0	0	3	4	0	0	0	0
denovo85	4	0	6	2	7	5	0	0	0	2	2	0	0	1	0	0	1	0	22	13	26	5	11	7	18	6	3	26	3	24
denovo571	0	12	1	0	0	2	1	0	3	0	0	8	14	1	3	16	0	8	5	1	0	7	1	35	3	1	5	19	20	27
denovo66	10	5	7	26	22	13	27	18	2	7	20	1	0	8	10	1	14	1	0	0	0	0	0	0	0	0	0	0	0	0
denovo33	4	2	3	34	24	1	18	0	0	13	35	0	0	32	15	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0
denovo147	3	9	14	14	24	9	23	13	2	11	25	2	3	7	10	2	13	5	0	0	0	0	0	1	0	0	0	0	0	0
denovo88	2	13	5	23	3	2	8	2	14	3	23	10	11	24	21	14	2	8	0	2	0	0	0	0	0	0	0	0	0	0
denovo107	11	11	1	0	5	3	15	0	10	2	1	38	13	3	4	25	5	38	0	0	0	1	0	1	0	1	0	0	0	0
denovo101	9	13	9	23	11	11	23	6	7	6	10	3	1	6	5	11	3	12	1	0	0	2	1	2	0	0	1	3	0	5
denovo193	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	4	10	6	2	41	5	4	12	29	16	40
denovo127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	56	19	3	41	0	9	24	10	0	0	0
denovo575	0	0	4	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	26	21	34	0	21	9	2	31	0	11	16	0
denovo289	33	10	7	5	5	18	11	0	6	1	1	7	4	12	22	7	3	22	2	1	0	0	0	0	1	0	1	1	0	0
denovo54	7	0	4	10	20	3	11	1	0	15	66	0	0	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo67	4	22	6	4	12	1	9	1	16	4	3	13	15	12	4	17	2	23	0	1	0	2	0	2	0	0	0	0	0	0
denovo214	2	14	2	4	5	5	2	2	6	2	3	20	6	12	24	4	1	18	6	6	2	3	0	4	0	0	5	1	12	1
denovo477	3	7	7	24	18	5	21	6	8	0	3	24	6	0	0	8	9	23	0	0	0	0	0	0	0	0	0	0	0	0
denovo350	8	6	6	8	6	10	8	1	2	6	16	9	5	4	14	2	5	11	7	9	3	2	2	8	3	2	2	0	5	1
denovo46	14	0	10	14	5	4	0	4	0	6	19	0	0	8	27	0	6	0	0	0	0	1	0	5	0	0	11	2	11	24
denovo548	1	4	1	1	4	1	1	1	0	1	5	3	2	2	1	1	0	1	19	8	34	6	5	11	38	5	1	3	7	2
denovo182	6	1	4	29	25	12	9	3	1	7	20	4	3	9	16	6	6	1	1	0	0	1	0	2	0	0	1	0	1	1
denovo65	8	16	8	10	11	17	3	9	10	5	5	18	8	4	6	13	1	17	0	0	0	0	0	0	0	0	0	0	0	0
denovo21	2	6	1	8	3	5	1	0	2	3	1	11	7	10	29	3	0	9	4	2	0	3	2	9	0	0	5	7	29	4
denovo105	10	0	23	9	23	19	15	7	0	12	19	0	0	1	5	0	4	0	1	0	0	3	0	0	2	0	1	6	0	6
denovo455	16	0	11	13	9	11	13	8	2	7	13	8	0	11	13	7	6	7	1	1	0	3	1	3	0	0	0	0	2	0
denovo227	3	0	22	3	18	6	8	2	0	8	11	0	0	8	24	1	3	0	0	0	2	1	0	6	0	0	3	14	9	14
denovo268	2	18	3	18	10	9	2	5	19	4	4	19	11	3	0	8	8	20	0	0	0	0	0	0	0	0	0	0	2	0
denovo215	3	0	4	10	20	7	2	2	0	24	20	0	0	6	33	1	0	0	0	0	0	0	0	0	0	0	6	1	2	23
denovo210	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	33	16	32	2	11	6	11	6	19	4	10	8
denovo75	3	12	0	6	5	2	2	0	4	2	5	15	5	19	20	6	0	15	2	14	4	4	4	2	1	3	1	0	7	0
denovo192	10	0	9	26	22	5	11	3	0	14	31	0	0	12	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo367	8	1	2	8	13	12	6	1	0	7	33	1	2	9	22	4	1	5	1	2	0	3	0	5	0	0	1	1	11	4
denovo257	12	5	11	8	6	10	4	4	3	1	10	10	5	4	6	5	1	18	2	2	2	9	2	5	3	1	0	4	3	4
denovo708	14	11	12	6	12	7	10	2	7	1	10	6	5	4	7	8	3	14	5	2	4	3	1	1	2	0	1	0	2	0
denovo233	12	0	11	7	5	8	3	0	0	9	3	0	0	1	8	0	3	1	15	9	13	3	8	11	1	10	4	2	7	4
denovo329	10	1	12	0	6	10	6	6	3	4	1	3	4	9	16	1	5	13	6	18	3	4	2	3	0	1	5	1	5	0
denovo37	5	6	9	4	2	11	1	2	3	3	8	9	3	5	13	1	5	17	2	0	0	1	0	9	0	0	4	4	17	13
denovo212	3	2	8	17	29	0	12	5	1	5	18	1	1	15	20	1	2	2	1	3	2	2	0	2	2	1	0	1	0	0
denovo130	31	5	8	8	0	21	24	3	4	0	0	5	5	0	0	3	3	6	5	8	6	0	1	0	7	1	0	0	1	0
denovo207	3	4	7	2	9	6	0	0	0	9	7	4	1	9	34	2	0	3	2	6	5	1	0	3	0	3	7	5	3	18
denovo134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	14	1	2	9	72	3	1	4	16	6
denovo369	0	2	0	0	1	0	0	0	0	0	1	2	4	0	0	0	0	2	17	44	21	3	23	2	11	14	1	1	4	0
denovo78	8	2	26	9	14	10	1	0	0	7	4	3	2	3	40	0	3	1	0	1	0	3	0	5	0	0	0	5	4	2
denovo614	2	11	1	12	14	1	8	4	4	6	10	8	3	5	2	3	0	4	9	6	2	6	5	4	4	2	1	5	5	4
denovo109	0	0	0	1	1	0	0	0	0	0	3	0	0	2	0	0	0	0	13	1	8	5	1	30	12	1	9	17	12	35
denovo224	1	0	4	6	8	2	1	2	0	3	12	1	0	1	2	1	0	2	4	2	1	3	1	25	2	1	8	24	14	18
denovo167	4	13	0	2	5	1	7	0	24	0	1	0	30	1	5	20	0	27	0	0	1	2	0	0	1	0	0	0	0	5
denovo68	11	0	16	8	14	10	2	0	0	6	9	9	0	11	18	1	0	1	4	2	1	1	1	5	1	0	0	6	8	2
denovo211	7	0	10	2	9	14	2	0	1	1	2	2	0	4	11	0	10	2	0	0	1	2	0	17	0	0	5	34	10	0
denovo175	13	6	3	11	2	9	3	1	4	2	5	23	10	2	0	14	1	14	0	0	0	0	0	9	1	0	0	4	2	7
denovo97	8	0	7	10	7	5	3	1	2	3	11	7	3	19	29	1	3	3	7	7	2	3	2	0	2	0	0	0	0	0
denovo50	7	0	3	15	10	1	5	0	0	5	39	0	0	26	21	0	3	0	2	1	1	3	0	2	0	0	0	0	1	0
denovo145	11	1	3	2	4	10	8	8	3	0	2	13	2	2	9	3	1	3	9	6	4	1	0	4	2	1	2	7	17	6
denovo900	13	0	18	14	21	9	5	0	0	11	22	0	0	5	19	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0
denovo882	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	47	21	21	2	14	3	11	14	0	1	2	1
denovo670	0	6	1	9	12	3	6	2	8	1	6	13	10	2	6	14	3	23	2	4	1	1	2	1	1	1	1	1	2	0
denovo108	0	12	0	0	0	0	0	0	5	0	0	21	8	1	0	13	0	17	19	20	15	0	3	0	3	3	1	0	1	0
denovo93	11	1	3	5	6	17	0	0	2	5	3	3	1	14	8	2	1	0	5	1	3	3	0	14	2	0	3	5	16	8
denovo597	0	0	21	0	2	0	5	2	0	1	4	0	0	4	1	0	1	0	11	11	10	0	10	6	15	13	3	9	5	7
denovo121	0	0	1	15	11	0	0	0	1	0	9	0	0	4	6	0	0	0	2	0	11	7	1	12	6	0	7	6	16	26
denovo185	1	14	2	7	10	2	6	0	1	1	2	4	3	4	14	0	0	2	2	6	4	2	0	9	1	0	2	9	21	12
denovo429	3	3	5	6	4	19	10	2	1	2	9	5	1	8	8	2	5	3	0	3	6	1	2	4	1	1	5	6	7	7
denovo74	2	0	5	1	7	4	1	1	0	1	7	0	2	3	7	0	1	1	5	24	10	0	7	11	14	9	2	4	3	7
denovo269	10	1	4	9	26	7	3	0	2	5	15	1	6	2	10	2	2	9	0	0	0	1	0	1	0	0	3	4	3	13
denovo122	9	0	4	0	3	7	0	1	1	2	7	0	1	2	4	2	2	2	29	15	12	3	8	1	8	2	2	1	6	5
denovo264	0	0	1	4	2	3	0	0	0	1	2	0	0	0	2	0	0	3	8	4	10	6	0	18	4	5	10	13	10	31
denovo252	1	7	1	18	10	11	8	0	7	1	9	5	5	12	4	12	3	14	0	0	0	2	1	0	1	2	1	1	1	0
denovo190	6	3	5	6	10	9	0	0	1	1	4	15	1	0	22	2	1	23	2	16	2	2	1	1	0	0	1	1	0	0
denovo437	1	1	1	2	0	0	0	0	0	5	9	2	1	3	27	0	0	1	6	11	11	1	6	10	1	25	2	1	7	0
denovo410	7	0	4	0	0	4	1	3	0	2	2	3	2	0	1	1	2	0	3	0	1	3	0	18	2	1	8	31	28	7
denovo141	3	1	6	2	14	1	1	0	2	3	13	10	0	5	30	3	0	4	1	0	0	7	0	1	0	0	2	7	4	12
denovo563	4	12	10	13	8	4	17	4	6	1	7	2	2	2	3	5	4	15	1	2	2	0	0	1	1	2	0	1	1	2
denovo195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	36	42	27	0	10	2	2	5	2	1	0	0
denovo178	46	0	37	1	0	31	10	1	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo745	4	0	11	1	6	12	7	0	0	5	4	0	0	8	33	0	0	1	0	0	0	6	0	9	0	0	3	2	15	3
denovo248	12	4	6	4	3	13	0	0	1	0	16	10	3	4	29	1	1	7	0	0	0	4	0	0	0	0	1	2	5	2
denovo381	0	1	0	1	3	0	0	0	0	0	0	1	0	0	2	0	0	0	13	10	13	8	5	14	5	10	10	6	15	11
denovo150	4	14	0	13	5	6	11	4	5	2	21	2	1	10	3	12	8	5	0	0	0	0	0	1	0	0	0	0	0	1
denovo153	6	7	5	19	8	5	2	2	5	3	7	4	3	3	4	6	3	10	3	1	3	2	1	1	2	1	3	5	3	0
denovo368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	7	57	0	2	0	29	1	0	0	0	0
denovo234	2	1	1	1	1	5	0	1	0	2	0	0	1	3	3	4	6	1	0	0	0	2	0	34	0	0	3	16	18	22
denovo98	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	20	14	5	16	2	11	11	6	11	0	4
denovo303	6	9	0	7	4	2	4	3	8	0	6	12	2	8	4	9	1	13	2	3	0	2	1	6	2	0	3	2	4	3
denovo208	4	8	2	5	15	6	17	6	4	4	8	9	0	5	6	7	4	13	1	1	0	0	0	0	0	0	0	0	0	0
denovo335	2	0	7	0	0	7	1	1	0	0	4	0	0	0	2	0	0	0	10	1	34	1	3	10	21	4	2	9	2	4
denovo294	0	10	1	2	4	5	17	4	8	0	1	10	9	3	0	17	1	20	0	3	2	0	0	0	0	0	1	3	3	0
denovo411	3	3	1	18	8	2	8	0	2	2	8	6	1	3	2	3	1	13	5	8	2	2	3	4	1	1	2	2	4	6
denovo393	2	0	9	1	2	7	1	1	0	0	8	2	0	7	2	0	2	2	24	5	18	1	2	0	8	8	5	3	0	4
denovo156	12	2	4	12	10	2	3	2	1	6	18	3	0	9	11	1	1	5	1	6	4	0	1	1	0	2	1	2	2	1
denovo586	1	2	10	3	0	11	0	0	3	2	8	14	2	6	18	9	0	16	0	1	0	0	0	0	0	1	5	4	7	0
denovo507	9	0	15	13	7	21	4	9	3	4	8	0	0	3	5	2	10	2	0	1	0	0	0	2	0	0	1	0	1	2
denovo424	5	1	7	22	17	4	10	2	4	4	12	1	1	5	8	4	2	11	2	0	0	0	0	0	0	0	0	0	0	0
denovo568	8	4	7	0	10	7	1	0	3	2	2	9	6	3	5	5	3	6	3	1	2	5	0	3	3	0	2	10	6	5
denovo339	5	1	8	10	10	8	4	3	0	1	4	1	0	3	10	1	3	1	1	2	2	8	0	10	0	0	7	1	5	12
denovo77	4	1	5	5	6	8	9	4	1	2	13	2	4	8	11	4	3	2	2	5	1	2	2	4	0	2	2	3	2	4
denovo103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	18	28	1	28	0	7	12	0	0	0	0
denovo380	7	18	1	4	9	3	2	2	2	5	5	4	1	5	0	13	1	20	1	0	1	1	0	6	0	0	3	0	0	5
denovo244	6	7	2	1	0	5	0	1	7	4	0	18	16	5	1	5	1	17	3	14	2	1	1	0	0	0	0	0	2	0
denovo117	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	7	5	4	7	40	2	4	9	8	17	4
denovo379	2	0	7	8	9	7	1	1	3	1	4	6	3	2	11	4	1	8	6	12	7	0	0	2	3	3	0	0	7	0
denovo115	7	7	4	4	0	1	4	2	7	0	0	17	8	0	0	15	0	24	1	6	0	1	1	0	2	1	2	1	1	1
denovo484	3	11	0	0	0	3	2	0	11	0	0	18	6	0	0	11	0	22	6	8	3	3	3	1	2	2	0	0	2	0
denovo194	6	9	0	13	13	1	9	1	1	3	18	0	7	5	3	10	2	12	1	0	1	0	0	1	0	0	0	0	0	0
denovo1526	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	38	2	2	3	30	5	0	5	7	1
denovo216	12	0	13	6	15	8	8	5	0	2	11	0	0	5	2	0	9	0	4	4	4	1	0	0	2	0	0	0	0	4
denovo149	4	2	6	9	16	1	3	3	1	3	9	2	0	5	13	2	4	2	1	4	1	2	0	3	2	1	2	4	6	3
denovo146	9	0	10	14	7	12	0	2	0	5	8	0	0	4	5	0	2	0	8	7	6	1	7	1	4	1	0	0	1	0
denovo80	5	4	3	2	5	2	2	1	1	0	7	8	8	3	1	3	1	3	9	10	9	6	2	3	5	2	4	0	5	0
denovo674	0	15	0	10	5	0	3	3	8	2	3	11	6	1	1	12	2	19	3	0	0	3	0	3	0	0	0	2	1	0
denovo612	17	2	16	6	3	20	9	4	0	2	3	0	0	1	3	5	3	3	7	2	4	2	0	0	0	0	1	0	0	0
denovo40	18	0	33	1	7	29	4	5	0	3	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo120	0	18	0	5	7	0	14	0	6	3	3	11	4	5	11	6	5	12	0	0	0	2	0	0	0	0	0	0	0	0
denovo1213	0	20	0	1	0	0	1	0	2	0	0	10	9	1	0	30	0	29	0	0	0	1	0	0	0	0	4	0	1	2
denovo607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	7	10	8	16	2	2	8	4	9	19
denovo171	1	7	1	16	23	1	6	2	0	1	2	17	3	0	4	1	2	7	4	1	2	1	0	0	1	0	2	0	5	0
denovo577	4	7	6	4	9	3	10	2	3	5	15	1	0	4	7	7	3	11	0	2	0	2	0	1	3	0	0	1	0	0
denovo281	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	52	0	1	8	9	28	7
denovo152	6	13	0	7	4	1	3	3	4	1	3	7	9	5	2	5	0	17	6	4	0	0	1	2	1	1	3	0	0	1
denovo660	2	0	0	2	0	0	0	0	0	1	3	1	0	0	0	3	0	1	19	19	17	1	6	3	8	9	6	1	2	4
denovo534	0	2	5	2	11	3	6	4	1	5	4	2	1	7	5	1	1	3	0	0	0	2	1	5	0	0	3	10	8	15
denovo232	1	0	2	16	15	0	1	1	0	13	32	0	0	10	10	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0
denovo296	2	0	1	8	8	1	0	0	0	2	14	0	0	2	3	0	0	0	10	2	5	8	1	3	2	2	3	12	2	14
denovo348	1	2	1	1	1	0	0	0	0	0	0	0	0	1	2	0	0	4	4	1	4	6	1	42	3	1	3	6	15	5
denovo125	11	3	1	6	5	7	10	0	1	1	8	5	3	6	20	3	4	10	0	0	0	0	0	0	0	0	0	0	0	0
denovo90	5	0	2	4	13	2	19	8	0	12	15	0	0	6	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo283	8	6	5	3	2	3	2	2	1	1	5	7	5	2	6	0	7	5	6	3	1	0	0	3	4	0	1	0	10	6
denovo275	5	6	1	6	12	12	4	4	3	1	1	7	4	3	3	5	3	6	1	0	2	1	0	3	1	3	1	0	4	1
denovo297	5	4	3	35	6	5	3	1	0	0	0	13	2	1	0	3	1	10	3	6	0	0	0	0	1	1	0	0	0	0
denovo595	1	30	0	0	1	0	2	0	16	0	0	4	15	0	0	19	0	15	0	0	0	0	0	0	0	0	0	0	0	0
denovo592	6	0	16	2	2	10	5	2	0	2	9	0	0	4	4	0	5	0	4	3	3	0	7	1	4	2	1	1	0	9
denovo223	33	0	17	0	0	40	1	3	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo906	4	2	13	0	1	5	0	0	0	2	4	3	0	1	3	3	0	5	0	3	3	1	0	11	4	1	1	11	8	13
denovo677	5	8	0	0	0	1	1	0	4	0	0	23	9	0	1	12	1	29	2	1	1	1	1	0	0	0	0	0	2	0
denovo110	0	0	0	0	0	101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo356	2	1	1	19	20	0	15	3	0	3	21	0	0	4	1	0	7	1	0	0	0	0	0	0	0	0	0	0	1	2
denovo162	4	1	4	2	6	8	1	3	1	4	14	2	0	3	21	0	2	0	0	0	1	9	0	8	0	0	1	5	0	1
denovo1997	0	4	1	3	3	2	8	4	6	7	6	5	7	11	12	7	2	6	3	2	0	0	0	0	1	0	0	0	1	0
denovo688	8	5	2	6	0	12	6	8	3	1	3	2	1	1	5	4	1	11	1	2	2	0	0	2	2	1	3	0	8	0
denovo618	8	3	6	1	1	9	2	0	2	0	2	5	2	1	4	1	1	2	9	3	1	1	0	6	2	0	7	1	17	3
denovo186	8	0	9	9	5	6	1	1	0	8	4	8	0	6	11	1	0	3	0	0	0	1	0	3	0	0	0	8	2	5
denovo174	1	6	0	4	17	0	4	1	0	0	0	6	0	1	3	4	0	6	9	4	5	3	0	2	12	2	1	1	1	6
denovo259	3	7	0	7	3	3	5	4	2	2	6	7	5	11	9	3	0	6	2	0	2	4	0	0	3	0	0	2	2	1
denovo169	4	0	0	3	8	0	7	1	3	3	6	1	1	2	3	2	0	2	6	1	9	6	0	3	2	6	1	1	16	2
denovo133	5	0	0	15	23	7	7	1	3	4	19	0	0	5	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo206	0	0	4	2	9	1	0	0	0	1	1	1	0	4	4	1	3	5	8	9	1	4	0	4	7	5	1	9	6	7
denovo102	2	0	4	0	0	7	0	0	0	0	2	1	0	0	1	0	0	0	1	10	12	3	0	5	19	3	1	5	6	15
denovo338	7	11	1	4	2	3	7	1	5	1	7	7	1	5	9	7	5	13	0	0	0	1	0	0	0	0	0	0	0	0
denovo161	11	1	6	9	4	12	7	3	3	4	10	0	0	1	7	1	3	2	2	0	0	0	0	1	0	0	0	0	4	5
denovo374	0	21	0	0	3	0	10	1	1	0	6	7	0	3	9	12	0	22	0	0	0	1	0	0	0	0	0	0	0	0
denovo392	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	15	16	0	2	1	18	7	1	0	0	0
denovo159	0	0	1	0	0	0	0	0	0	1	4	5	0	0	4	1	0	2	10	22	11	0	13	8	2	9	0	0	2	0
denovo243	11	0	10	15	9	3	7	4	0	2	23	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo242	1	1	0	1	2	0	0	0	0	0	1	7	4	4	5	2	0	3	0	1	1	1	0	9	5	0	4	3	23	17
denovo197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	16	1	5	9	7	8	3	3	13	10
denovo287	0	9	0	0	0	0	1	3	4	1	2	13	6	4	3	10	0	10	2	7	2	1	0	6	2	3	0	1	3	1
denovo126	16	1	2	10	4	10	2	0	1	4	6	4	0	7	4	0	4	2	2	3	6	2	0	1	1	0	0	2	0	0
denovo292	7	3	5	0	6	8	2	3	3	1	3	5	5	0	3	5	2	8	0	0	0	0	0	4	0	1	2	2	11	4
denovo306	3	0	3	0	3	2	2	4	0	0	1	0	0	1	0	0	2	0	7	3	5	9	0	7	5	4	3	5	0	24
denovo300	2	0	7	4	2	3	5	5	0	0	10	0	0	1	0	0	0	0	9	5	10	4	1	1	6	6	2	2	3	3
denovo543	1	0	2	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	4	4	2	1	0	0
denovo473	6	3	6	9	4	8	0	2	1	1	15	4	1	10	13	0	0	2	0	0	0	1	0	0	0	0	0	1	1	3
denovo1056	5	2	0	5	23	3	9	2	1	2	17	1	2	3	3	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0
denovo528	7	2	14	6	11	4	3	2	2	2	6	1	2	6	7	3	7	5	0	0	0	0	0	0	0	0	0	0	0	0
denovo359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	8	34	0	1	1	16	1	0	0	0	0
denovo500	0	0	6	1	2	2	2	3	0	0	2	0	2	0	2	0	0	1	9	12	7	1	11	3	4	6	0	4	9	0
denovo713	7	4	2	5	4	3	7	2	1	5	3	2	2	10	6	2	3	4	1	7	2	1	2	0	1	0	2	0	0	0
denovo913	1	0	2	0	4	4	1	0	0	1	6	0	0	2	1	0	0	0	9	4	9	2	2	7	4	5	4	8	4	8
denovo523	4	1	2	9	9	2	12	4	0	9	12	1	1	5	5	1	8	1	0	0	0	0	0	0	0	0	1	0	0	1
denovo725	6	1	3	19	8	3	1	1	0	0	15	3	1	1	3	3	1	7	0	2	2	3	0	1	2	0	0	1	0	1
denovo258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	24	6	2	19	0	7	11	2	4	4	1
denovo265	1	0	1	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	7	20	8	2	7	8	7	14	0	0	4	2
denovo474	7	0	4	8	2	16	0	0	0	4	5	2	0	6	4	0	3	1	1	1	1	0	0	4	0	0	0	5	8	4
denovo237	8	1	4	11	7	3	5	4	0	8	11	2	0	12	2	3	3	1	0	0	0	0	0	0	0	1	0	0	0	0
denovo502	6	3	4	1	2	6	8	3	6	2	6	5	1	5	6	9	1	8	0	0	1	1	0	1	0	0	0	0	0	1
denovo177	0	2	0	1	0	0	3	0	0	0	4	1	1	1	0	2	0	0	17	10	10	3	1	8	4	2	3	1	6	6
denovo203	4	0	17	0	0	7	0	3	0	0	8	0	0	1	0	1	0	1	10	7	10	0	8	1	4	4	0	0	0	0
denovo1739	1	9	2	2	4	0	7	1	5	6	4	5	6	1	4	10	0	5	0	2	0	0	1	1	0	0	0	4	2	4
denovo42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	16	14	0	2	0	7	10	0	0	0	0
denovo155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	8	4	1	9	4	1	7	7	13	22
denovo139	2	0	1	15	9	5	5	3	0	11	21	0	0	3	4	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
denovo220	5	3	0	2	0	3	10	0	3	1	1	14	8	0	5	10	1	12	0	0	0	1	0	0	0	0	4	0	1	0
denovo140	0	0	3	15	4	0	6	0	0	0	8	0	0	4	2	0	4	0	7	2	10	1	2	1	0	3	0	5	1	6
denovo841	12	1	10	8	13	7	3	1	3	0	6	0	1	7	5	3	0	1	1	0	0	1	0	0	0	0	0	0	0	1
denovo340	1	4	0	0	3	2	0	0	0	2	1	11	0	4	11	6	0	9	0	3	4	1	3	2	1	1	3	2	10	0
denovo589	1	1	0	0	0	1	2	0	1	0	0	3	4	0	1	2	0	4	7	6	8	2	2	7	4	6	3	5	10	4
denovo667	11	0	5	8	9	9	7	1	0	1	7	0	1	7	4	1	4	2	0	0	2	1	0	0	0	0	0	1	1	1
denovo1395	7	1	7	17	8	0	5	1	0	5	6	0	0	14	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo431	11	4	0	1	6	4	18	1	0	6	4	1	4	0	3	2	11	4	2	0	0	0	0	0	0	0	0	0	0	0
denovo775	1	0	2	0	1	2	3	3	0	3	1	0	0	2	0	0	0	2	2	0	3	8	0	1	0	0	10	0	2	36
denovo464	5	16	0	3	0	3	9	1	2	2	0	3	3	1	2	20	0	5	1	3	1	1	0	0	0	1	0	0	0	0
denovo451	1	6	1	1	0	1	1	0	0	0	2	5	3	2	2	0	0	12	2	3	2	3	2	7	0	0	4	6	12	4
denovo131	3	8	1	1	1	1	1	2	5	0	1	8	9	0	6	3	1	10	1	3	2	4	1	1	2	1	5	0	0	0
denovo454	4	0	11	5	4	7	14	4	0	1	9	0	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
denovo71	0	0	0	0	0	0	2	0	0	0	0	5	1	0	0	3	0	4	13	20	12	0	10	2	8	1	0	0	0	0
denovo187	2	0	3	10	11	5	17	2	0	8	10	0	0	4	1	0	4	0	3	0	0	0	1	0	0	0	0	0	0	0
denovo151	19	1	18	7	3	14	1	2	0	1	6	3	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
denovo675	1	5	5	5	2	0	1	1	2	0	6	6	5	3	2	2	0	9	4	4	3	1	0	2	2	1	2	2	4	0
denovo163	5	7	2	2	6	2	7	1	2	8	6	0	0	2	8	5	3	14	0	0	0	0	0	0	0	0	0	0	0	0
denovo385	1	9	0	1	1	2	8	3	1	1	1	5	2	1	2	5	0	7	2	2	4	2	0	9	2	0	1	3	4	1
denovo669	3	2	2	2	5	4	1	0	2	2	6	7	3	4	5	1	0	4	6	1	3	0	5	2	2	3	1	1	3	0
denovo291	1	5	7	1	2	5	7	0	5	1	5	2	1	1	4	4	5	9	1	0	1	3	0	0	2	0	6	0	1	0
