OTU_ID	May_D_A	July_C_C	May_D_D	May_E_C	July_E_C	May_D_C	July_D_A	July_D_D	July_C_A	July_E_B	May_E_B	May_C_C	July_C_B	July_E_A	May_E_A	May_C_A	July_D_C	May_C_B	July_A_C	May_A_C	July_A_A	July_B_D	May_A_B	May_B_G	July_A_B	May_A_A	July_B_F	May_B_F	May_B_D	July_B_G
denovo240	10	1	1	2	10	3	2	1	2	0	8	3	0	10	8	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0
denovo903	1	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	19	1	2	0	10	11	15
denovo334	7	6	1	5	4	1	3	0	6	0	2	3	0	2	0	3	0	12	0	1	1	1	1	3	1	0	3	0	5	2
denovo839	0	2	0	0	1	1	1	0	0	2	1	2	0	3	2	0	0	0	8	3	21	0	0	2	16	1	5	0	0	2
denovo226	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	4	5	5	3	4	1	18	0	1	3	7	13	3
denovo282	7	2	4	3	3	9	9	6	1	1	6	0	2	7	5	0	3	1	0	0	0	0	1	0	0	0	1	0	1	0
denovo270	9	1	4	0	0	10	3	1	2	0	5	1	2	0	1	0	0	4	7	12	0	0	1	3	4	0	0	1	1	0
denovo158	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	19	0	0	4	9	14	17
denovo361	1	4	0	4	7	0	5	1	4	2	7	2	2	9	6	6	2	8	0	0	1	0	0	0	0	0	0	0	0	0
denovo196	10	1	5	8	4	1	2	2	4	1	8	2	4	2	6	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0
denovo896	0	3	0	1	1	1	0	0	1	0	2	7	3	1	5	1	0	10	3	8	2	2	5	1	4	0	0	0	9	1
denovo641	0	1	1	0	3	1	1	0	0	3	2	0	1	1	1	0	0	2	1	1	1	2	0	17	3	1	0	6	11	11
denovo452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	16	9	0	13	0	7	6	0	0	0	0
denovo305	1	0	1	0	2	2	0	0	0	1	1	0	0	2	1	0	0	0	8	2	4	0	1	4	5	3	1	8	1	22
denovo570	5	0	1	17	6	7	10	2	0	2	12	0	0	1	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0
denovo170	0	0	0	0	0	1	0	0	0	0	2	3	0	0	6	0	0	1	3	19	7	0	7	3	2	11	0	2	2	0
denovo806	1	8	2	2	3	2	4	1	3	0	0	7	13	2	1	8	0	11	0	1	0	0	0	0	0	0	0	0	0	0
denovo260	6	0	13	2	0	10	0	0	0	13	6	0	0	3	1	1	1	0	0	0	0	2	0	1	0	0	1	6	2	1
denovo360	2	4	1	0	3	1	8	3	3	0	0	6	5	1	4	15	3	10	0	0	0	0	0	0	0	0	0	0	0	0
denovo836	11	6	1	0	0	7	3	3	3	0	0	1	2	0	0	1	9	2	3	1	7	0	2	0	3	3	0	0	1	0
denovo418	13	0	15	5	5	9	6	4	0	1	5	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo228	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	16	0	6	0	10	3	0	0	0	0
denovo251	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	14	15	0	2	0	6	3	0	3	0	6
denovo443	3	2	1	0	4	0	8	0	4	1	5	4	8	0	1	10	3	14	0	0	0	0	0	0	0	0	0	0	0	0
denovo1944	6	4	3	0	7	1	8	1	4	1	5	5	4	2	0	3	3	11	0	0	0	0	0	0	0	0	0	0	0	0
denovo416	4	1	1	3	5	6	4	0	0	2	13	0	0	7	0	0	1	0	3	5	4	1	4	1	2	1	0	0	0	0
denovo1629	3	4	0	3	2	2	8	2	1	1	8	8	0	4	2	4	1	7	0	2	1	0	1	0	1	0	3	0	0	0
denovo324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	6	30	0	4	0	5	0	0	1	0	0
denovo249	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	5	5	7	2	5	14	1	2	3	11	5	2
denovo143	1	10	0	0	1	0	2	0	3	0	1	14	8	0	0	9	1	17	0	0	0	0	0	0	0	0	0	0	0	0
denovo199	8	0	6	3	2	11	10	5	0	1	7	0	3	7	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo480	7	1	3	0	0	7	2	1	2	3	6	4	4	1	7	1	2	6	0	0	0	2	0	2	0	0	2	2	2	0
denovo469	0	1	0	0	1	0	0	0	0	4	1	3	10	3	2	6	0	9	1	1	0	1	0	10	0	1	0	1	10	2
denovo460	8	5	3	0	1	3	3	2	2	0	0	1	8	1	2	3	3	11	5	2	1	0	0	0	1	0	0	0	1	0
denovo436	3	5	2	5	2	1	0	0	2	0	0	10	3	4	6	4	0	5	0	2	2	2	0	1	3	1	0	0	2	1
